epoch,accuracy,precision,recall,f1,cost
1,0.667308,0.672931,0.835297,0.745374,0.623091
2,0.667308,0.672931,0.835297,0.745374,0.623061
3,0.667445,0.673059,0.835297,0.745453,0.62303
4,0.667445,0.673059,0.835297,0.745453,0.623
5,0.667445,0.673059,0.835297,0.745453,0.622969
6,0.667582,0.673186,0.835297,0.745531,0.622939
7,0.667582,0.673186,0.835297,0.745531,0.622909
8,0.667582,0.673186,0.835297,0.745531,0.622878
9,0.667582,0.673186,0.835297,0.745531,0.622848
10,0.667582,0.673186,0.835297,0.745531,0.622818
11,0.66772,0.673314,0.835297,0.745609,0.622788
12,0.667857,0.673574,0.834826,0.745581,0.622758
13,0.667857,0.673574,0.834826,0.745581,0.622728
14,0.667857,0.673574,0.834826,0.745581,0.622698
15,0.667857,0.673574,0.834826,0.745581,0.622668
16,0.668132,0.67383,0.834826,0.745738,0.622638
17,0.668132,0.673764,0.835061,0.745791,0.622608
18,0.668132,0.673963,0.834354,0.745631,0.622578
19,0.668132,0.673963,0.834354,0.745631,0.622549
20,0.667994,0.673834,0.834354,0.745552,0.622519
21,0.667994,0.673834,0.834354,0.745552,0.622489
22,0.667994,0.673834,0.834354,0.745552,0.622459
23,0.667994,0.673834,0.834354,0.745552,0.622429
24,0.667994,0.673834,0.834354,0.745552,0.6224
25,0.667994,0.673834,0.834354,0.745552,0.622371
26,0.668132,0.673963,0.834354,0.745631,0.622341
27,0.668132,0.673963,0.834354,0.745631,0.622311
28,0.668132,0.673963,0.834354,0.745631,0.622283
29,0.668544,0.674149,0.835061,0.746027,0.622253
30,0.668681,0.674277,0.835061,0.746105,0.622224
31,0.668681,0.674343,0.834826,0.746052,0.622194
32,0.668681,0.674343,0.834826,0.746052,0.622165
33,0.668819,0.674472,0.834826,0.74613,0.622136
34,0.668544,0.674348,0.834354,0.745866,0.622107
35,0.668407,0.674219,0.834354,0.745788,0.622077
36,0.667994,0.673967,0.833883,0.745445,0.622049
37,0.668132,0.674029,0.834119,0.745577,0.622019
38,0.668132,0.674029,0.834119,0.745577,0.621991
39,0.668132,0.674029,0.834119,0.745577,0.621961
40,0.667994,0.673967,0.833883,0.745445,0.621933
41,0.667994,0.673967,0.833883,0.745445,0.621904
42,0.667994,0.673967,0.833883,0.745445,0.621875
43,0.667994,0.673967,0.833883,0.745445,0.621846
44,0.668132,0.674095,0.833883,0.745523,0.621818
45,0.668132,0.674095,0.833883,0.745523,0.621789
46,0.668269,0.674157,0.834119,0.745656,0.62176
47,0.668269,0.674157,0.834119,0.745656,0.621732
48,0.668269,0.674157,0.834119,0.745656,0.621703
49,0.668269,0.674157,0.834119,0.745656,0.621674
50,0.668269,0.674157,0.834119,0.745656,0.621646
51,0.668407,0.674286,0.834119,0.745734,0.621617
52,0.668269,0.674157,0.834119,0.745656,0.621589
53,0.668269,0.674157,0.834119,0.745656,0.62156
54,0.668132,0.674095,0.833883,0.745523,0.621532
55,0.668132,0.674095,0.833883,0.745523,0.621503
56,0.668407,0.674219,0.834354,0.745788,0.621475
57,0.668407,0.674219,0.834354,0.745788,0.621446
58,0.668544,0.674281,0.83459,0.74592,0.621418
59,0.668544,0.674281,0.83459,0.74592,0.62139
60,0.668681,0.67441,0.83459,0.745998,0.621362
61,0.669231,0.674924,0.83459,0.746313,0.621334
62,0.669231,0.674924,0.83459,0.746313,0.621306
63,0.669231,0.674924,0.83459,0.746313,0.621278
64,0.669505,0.675181,0.83459,0.74647,0.62125
65,0.669505,0.675248,0.834354,0.746417,0.621222
66,0.669505,0.675248,0.834354,0.746417,0.621194
67,0.669643,0.675377,0.834354,0.746495,0.621166
68,0.669643,0.675377,0.834354,0.746495,0.621138
69,0.669643,0.675377,0.834354,0.746495,0.62111
70,0.670055,0.675562,0.835061,0.746891,0.621082
71,0.670192,0.675691,0.835061,0.74697,0.621055
72,0.670742,0.67614,0.835297,0.747338,0.621027
73,0.670742,0.67614,0.835297,0.747338,0.620999
74,0.670467,0.676016,0.834826,0.747074,0.620971
75,0.670467,0.676016,0.834826,0.747074,0.620944
76,0.670604,0.676145,0.834826,0.747153,0.620916
77,0.670742,0.676207,0.835061,0.747285,0.620889
78,0.670742,0.676207,0.835061,0.747285,0.620861
79,0.671016,0.676465,0.835061,0.747443,0.620834
80,0.671016,0.676465,0.835061,0.747443,0.620806
81,0.671016,0.676465,0.835061,0.747443,0.620779
82,0.671016,0.676465,0.835061,0.747443,0.620752
83,0.671016,0.676465,0.835061,0.747443,0.620724
84,0.670879,0.676336,0.835061,0.747364,0.620697
85,0.670879,0.676336,0.835061,0.747364,0.62067
86,0.670879,0.676336,0.835061,0.747364,0.620642
87,0.670879,0.676336,0.835061,0.747364,0.620615
88,0.670879,0.676336,0.835061,0.747364,0.620588
89,0.670879,0.676336,0.835061,0.747364,0.62056
90,0.670879,0.676336,0.835061,0.747364,0.620533
91,0.671429,0.676583,0.836004,0.747892,0.620506
92,0.671429,0.676583,0.836004,0.747892,0.620479
93,0.671429,0.676583,0.836004,0.747892,0.620452
94,0.671429,0.676583,0.836004,0.747892,0.620425
95,0.671429,0.676583,0.836004,0.747892,0.620398
96,0.671429,0.67665,0.835768,0.747839,0.620372
97,0.671429,0.676515,0.836239,0.747945,0.620344
98,0.671429,0.676515,0.836239,0.747945,0.620318
99,0.671429,0.676515,0.836239,0.747945,0.620291
100,0.671566,0.676577,0.836475,0.748077,0.620264
101,0.671566,0.676577,0.836475,0.748077,0.620237
102,0.671566,0.676577,0.836475,0.748077,0.62021
103,0.671566,0.676577,0.836475,0.748077,0.620183
104,0.671566,0.676577,0.836475,0.748077,0.620157
105,0.671566,0.676577,0.836475,0.748077,0.62013
106,0.671566,0.676577,0.836475,0.748077,0.620103
107,0.671703,0.676639,0.836711,0.748209,0.620077
108,0.671703,0.676639,0.836711,0.748209,0.62005
109,0.671703,0.676639,0.836711,0.748209,0.620024
110,0.671703,0.676639,0.836711,0.748209,0.619997
111,0.671703,0.676639,0.836711,0.748209,0.619971
112,0.671703,0.676639,0.836711,0.748209,0.619945
113,0.671703,0.676639,0.836711,0.748209,0.619918
114,0.671703,0.676639,0.836711,0.748209,0.619892
115,0.671703,0.676639,0.836711,0.748209,0.619865
116,0.671841,0.676768,0.836711,0.748288,0.619839
117,0.671841,0.676768,0.836711,0.748288,0.619813
118,0.671841,0.676768,0.836711,0.748288,0.619786
119,0.671841,0.676768,0.836711,0.748288,0.61976
120,0.671841,0.676768,0.836711,0.748288,0.619734
121,0.671978,0.676964,0.836475,0.748314,0.619708
122,0.671978,0.676964,0.836475,0.748314,0.619682
123,0.671978,0.676964,0.836475,0.748314,0.619656
124,0.671978,0.676964,0.836475,0.748314,0.61963
125,0.672115,0.677093,0.836475,0.748393,0.619604
126,0.672115,0.677093,0.836475,0.748393,0.619578
127,0.671841,0.676903,0.836239,0.748182,0.619552
128,0.671978,0.677032,0.836239,0.748261,0.619526
129,0.672115,0.677093,0.836475,0.748393,0.6195
130,0.672115,0.677093,0.836475,0.748393,0.619474
131,0.672115,0.677093,0.836475,0.748393,0.619447
132,0.671841,0.676835,0.836475,0.748235,0.619422
133,0.671566,0.676644,0.836239,0.748024,0.619396
134,0.671566,0.676644,0.836239,0.748024,0.619371
135,0.671703,0.676773,0.836239,0.748103,0.619345
136,0.671703,0.676841,0.836004,0.74805,0.619319
137,0.671841,0.677038,0.835768,0.748075,0.619293
138,0.671841,0.677038,0.835768,0.748075,0.619268
139,0.671841,0.677038,0.835768,0.748075,0.619242
140,0.671978,0.677167,0.835768,0.748154,0.619216
141,0.671978,0.677167,0.835768,0.748154,0.619191
142,0.671978,0.677167,0.835768,0.748154,0.619165
143,0.671841,0.677105,0.835533,0.748022,0.61914
144,0.671978,0.677167,0.835768,0.748154,0.619114
145,0.671978,0.677167,0.835768,0.748154,0.619089
146,0.671841,0.677038,0.835768,0.748075,0.619063
147,0.671841,0.677038,0.835768,0.748075,0.619038
148,0.671841,0.677038,0.835768,0.748075,0.619012
149,0.671841,0.677038,0.835768,0.748075,0.618987
150,0.671841,0.677038,0.835768,0.748075,0.618962
151,0.671841,0.677038,0.835768,0.748075,0.618937
152,0.671978,0.677099,0.836004,0.748208,0.618911
153,0.671978,0.677099,0.836004,0.748208,0.618886
154,0.671978,0.677099,0.836004,0.748208,0.618861
155,0.671978,0.677099,0.836004,0.748208,0.618836
156,0.671841,0.677038,0.835768,0.748075,0.61881
157,0.671841,0.677038,0.835768,0.748075,0.618785
158,0.671978,0.677167,0.835768,0.748154,0.61876
159,0.671978,0.677167,0.835768,0.748154,0.618735
160,0.671978,0.677167,0.835768,0.748154,0.61871
161,0.671566,0.676982,0.835061,0.747758,0.618685
162,0.671566,0.676982,0.835061,0.747758,0.61866
163,0.671566,0.676982,0.835061,0.747758,0.618635
164,0.671566,0.676982,0.835061,0.747758,0.61861
165,0.671841,0.677241,0.835061,0.747916,0.618585
166,0.671841,0.677241,0.835061,0.747916,0.61856
167,0.671978,0.67737,0.835061,0.747995,0.618536
168,0.671978,0.67737,0.835061,0.747995,0.61851
169,0.671978,0.67737,0.835061,0.747995,0.618486
170,0.671841,0.677241,0.835061,0.747916,0.618461
171,0.671841,0.677241,0.835061,0.747916,0.618436
172,0.671978,0.67737,0.835061,0.747995,0.618411
173,0.671978,0.67737,0.835061,0.747995,0.618387
174,0.672115,0.6775,0.835061,0.748074,0.618362
175,0.672115,0.6775,0.835061,0.748074,0.618337
176,0.672115,0.6775,0.835061,0.748074,0.618313
177,0.672527,0.677888,0.835061,0.748311,0.618288
178,0.672527,0.677888,0.835061,0.748311,0.618263
179,0.672527,0.677888,0.835061,0.748311,0.618239
180,0.672527,0.677888,0.835061,0.748311,0.618215
181,0.672527,0.677888,0.835061,0.748311,0.61819
182,0.672527,0.677888,0.835061,0.748311,0.618165
183,0.672527,0.677888,0.835061,0.748311,0.618141
184,0.672527,0.677888,0.835061,0.748311,0.618117
185,0.672527,0.677888,0.835061,0.748311,0.618092
186,0.672527,0.677888,0.835061,0.748311,0.618068
187,0.672527,0.677888,0.835061,0.748311,0.618043
188,0.67239,0.677759,0.835061,0.748232,0.618019
189,0.672253,0.677629,0.835061,0.748153,0.617995
190,0.672253,0.677629,0.835061,0.748153,0.61797
191,0.672253,0.677629,0.835061,0.748153,0.617946
192,0.67239,0.677759,0.835061,0.748232,0.617922
193,0.672115,0.6775,0.835061,0.748074,0.617898
194,0.672115,0.6775,0.835061,0.748074,0.617873
195,0.672115,0.6775,0.835061,0.748074,0.617849
196,0.671978,0.677438,0.834826,0.747942,0.617826
197,0.672115,0.677567,0.834826,0.748021,0.617801
198,0.672115,0.677635,0.83459,0.747967,0.617777
199,0.672115,0.677635,0.83459,0.747967,0.617753
200,0.672115,0.677635,0.83459,0.747967,0.617729
201,0.672115,0.677635,0.83459,0.747967,0.617705
202,0.672115,0.677635,0.83459,0.747967,0.617681
203,0.672115,0.677635,0.83459,0.747967,0.617657
204,0.672115,0.677635,0.83459,0.747967,0.617633
205,0.672115,0.677635,0.83459,0.747967,0.617609
206,0.672115,0.677635,0.83459,0.747967,0.617585
207,0.671841,0.677716,0.833412,0.747543,0.617561
208,0.671841,0.677716,0.833412,0.747543,0.617537
209,0.672115,0.677976,0.833412,0.747701,0.617513
210,0.672115,0.677976,0.833412,0.747701,0.61749
211,0.672115,0.677976,0.833412,0.747701,0.617466
212,0.672115,0.677976,0.833412,0.747701,0.617442
213,0.672115,0.677976,0.833412,0.747701,0.617419
214,0.672115,0.677976,0.833412,0.747701,0.617395
215,0.672115,0.677976,0.833412,0.747701,0.617371
216,0.672115,0.677976,0.833412,0.747701,0.617347
217,0.671841,0.677716,0.833412,0.747543,0.617324
218,0.671703,0.677586,0.833412,0.747464,0.6173
219,0.672115,0.67784,0.833883,0.747808,0.617276
220,0.672115,0.67784,0.833883,0.747808,0.617253
221,0.672253,0.677969,0.833883,0.747887,0.61723
222,0.67239,0.678031,0.834119,0.748019,0.617206
223,0.673077,0.678339,0.835297,0.74868,0.617182
224,0.673901,0.679187,0.835061,0.749102,0.617159
225,0.673901,0.679187,0.835061,0.749102,0.617135
226,0.674038,0.679249,0.835297,0.749234,0.617112
227,0.674038,0.679249,0.835297,0.749234,0.617088
228,0.674038,0.679249,0.835297,0.749234,0.617065
229,0.674038,0.679249,0.835297,0.749234,0.617041
230,0.673901,0.679119,0.835297,0.749155,0.617018
231,0.673901,0.679119,0.835297,0.749155,0.616995
232,0.673901,0.679119,0.835297,0.749155,0.616972
233,0.673901,0.679119,0.835297,0.749155,0.616949
234,0.673901,0.679119,0.835297,0.749155,0.616926
235,0.673901,0.679119,0.835297,0.749155,0.616902
236,0.673901,0.679119,0.835297,0.749155,0.616879
237,0.673901,0.679119,0.835297,0.749155,0.616856
238,0.673901,0.679119,0.835297,0.749155,0.616832
239,0.673901,0.679119,0.835297,0.749155,0.616809
240,0.674313,0.679509,0.835297,0.749392,0.616786
241,0.674313,0.679509,0.835297,0.749392,0.616763
242,0.674313,0.679509,0.835297,0.749392,0.61674
243,0.674313,0.679509,0.835297,0.749392,0.616717
244,0.674451,0.679571,0.835533,0.749524,0.616693
245,0.674451,0.679571,0.835533,0.749524,0.61667
246,0.674451,0.679571,0.835533,0.749524,0.616648
247,0.674451,0.679571,0.835533,0.749524,0.616625
248,0.674588,0.679632,0.835768,0.749657,0.616602
249,0.674588,0.679632,0.835768,0.749657,0.616579
250,0.674588,0.679632,0.835768,0.749657,0.616556
251,0.674588,0.679632,0.835768,0.749657,0.616533
252,0.674588,0.679632,0.835768,0.749657,0.61651
253,0.674588,0.679632,0.835768,0.749657,0.616487
254,0.674451,0.679502,0.835768,0.749577,0.616464
255,0.674451,0.679502,0.835768,0.749577,0.616441
256,0.674451,0.679502,0.835768,0.749577,0.616419
257,0.674451,0.679502,0.835768,0.749577,0.616396
258,0.674451,0.679502,0.835768,0.749577,0.616373
259,0.674588,0.679495,0.836239,0.749762,0.61635
260,0.674588,0.679495,0.836239,0.749762,0.616328
261,0.674588,0.679495,0.836239,0.749762,0.616305
262,0.674588,0.679495,0.836239,0.749762,0.616282
263,0.674588,0.679495,0.836239,0.749762,0.61626
264,0.674588,0.679495,0.836239,0.749762,0.616237
265,0.674588,0.679495,0.836239,0.749762,0.616215
266,0.674588,0.679495,0.836239,0.749762,0.616192
267,0.674588,0.679495,0.836239,0.749762,0.616169
268,0.674588,0.679495,0.836239,0.749762,0.616147
269,0.674451,0.679364,0.836239,0.749683,0.616125
270,0.674451,0.679433,0.836004,0.74963,0.616102
271,0.674451,0.679433,0.836004,0.74963,0.61608
272,0.674863,0.679824,0.836004,0.749868,0.616057
273,0.674863,0.679824,0.836004,0.749868,0.616035
274,0.674863,0.679824,0.836004,0.749868,0.616012
275,0.675137,0.680084,0.836004,0.750026,0.61599
276,0.675137,0.680084,0.836004,0.750026,0.615967
277,0.675549,0.680406,0.836239,0.750317,0.615945
278,0.675549,0.680406,0.836239,0.750317,0.615923
279,0.675687,0.680468,0.836475,0.750449,0.615901
280,0.675824,0.680529,0.836711,0.750581,0.615878
281,0.675962,0.680659,0.836711,0.750661,0.615856
282,0.675962,0.680659,0.836711,0.750661,0.615833
283,0.675962,0.680659,0.836711,0.750661,0.615811
284,0.675962,0.680659,0.836711,0.750661,0.615789
285,0.675962,0.680659,0.836711,0.750661,0.615767
286,0.675824,0.680529,0.836711,0.750581,0.615745
287,0.675687,0.680399,0.836711,0.750502,0.615723
288,0.675687,0.680399,0.836711,0.750502,0.615701
289,0.675687,0.680399,0.836711,0.750502,0.615678
290,0.675687,0.680468,0.836475,0.750449,0.615656
291,0.675687,0.680468,0.836475,0.750449,0.615634
292,0.675687,0.680468,0.836475,0.750449,0.615612
293,0.675824,0.680529,0.836711,0.750581,0.61559
294,0.675824,0.680529,0.836711,0.750581,0.615568
295,0.675824,0.680529,0.836711,0.750581,0.615546
296,0.675824,0.680529,0.836711,0.750581,0.615524
297,0.675962,0.680659,0.836711,0.750661,0.615502
298,0.676099,0.68079,0.836711,0.75074,0.61548
299,0.676099,0.68079,0.836711,0.75074,0.615458
300,0.676099,0.68079,0.836711,0.75074,0.615436
301,0.675824,0.680876,0.835533,0.750317,0.615414
302,0.675824,0.680876,0.835533,0.750317,0.615393
303,0.675824,0.680876,0.835533,0.750317,0.615371
304,0.675687,0.680745,0.835533,0.750238,0.615349
305,0.675687,0.680745,0.835533,0.750238,0.615327
306,0.675687,0.680745,0.835533,0.750238,0.615305
307,0.675687,0.680745,0.835533,0.750238,0.615283
308,0.675687,0.680745,0.835533,0.750238,0.615262
309,0.675687,0.680745,0.835533,0.750238,0.61524
310,0.675687,0.680745,0.835533,0.750238,0.615218
311,0.675687,0.680745,0.835533,0.750238,0.615197
312,0.675687,0.680745,0.835533,0.750238,0.615175
313,0.675687,0.680745,0.835533,0.750238,0.615153
314,0.675687,0.680745,0.835533,0.750238,0.615131
