epoch,accuracy,precision,recall,f1,cost
1,0.65211,0.659381,0.835943,0.737239,0.631282
2,0.65211,0.659381,0.835943,0.737239,0.631274
3,0.652238,0.659495,0.835943,0.73731,0.631263
4,0.652238,0.659495,0.835943,0.73731,0.631256
5,0.652238,0.659495,0.835943,0.73731,0.631247
6,0.652238,0.659495,0.835943,0.73731,0.631239
7,0.652238,0.659468,0.836053,0.737335,0.63123
8,0.652238,0.659468,0.836053,0.737335,0.631222
9,0.652238,0.659468,0.836053,0.737335,0.631214
10,0.652302,0.659497,0.836163,0.737396,0.631205
11,0.652302,0.659497,0.836163,0.737396,0.631197
12,0.652302,0.659497,0.836163,0.737396,0.631188
13,0.65243,0.659611,0.836163,0.737467,0.63118
14,0.65243,0.659611,0.836163,0.737467,0.63117
15,0.65243,0.659611,0.836163,0.737467,0.631161
16,0.65243,0.659611,0.836163,0.737467,0.631152
17,0.65243,0.659611,0.836163,0.737467,0.631143
18,0.652558,0.659725,0.836163,0.737539,0.631135
19,0.652558,0.659725,0.836163,0.737539,0.631127
20,0.652558,0.659725,0.836163,0.737539,0.631119
21,0.652558,0.659725,0.836163,0.737539,0.631111
22,0.652558,0.659725,0.836163,0.737539,0.631103
23,0.652622,0.659782,0.836163,0.737574,0.631094
24,0.652622,0.659782,0.836163,0.737574,0.631084
25,0.652622,0.659782,0.836163,0.737574,0.631075
26,0.652622,0.65981,0.836053,0.737549,0.631067
27,0.652622,0.65981,0.836053,0.737549,0.631058
28,0.652622,0.65981,0.836053,0.737549,0.631049
29,0.652622,0.65981,0.836053,0.737549,0.63104
30,0.652622,0.65981,0.836053,0.737549,0.631032
31,0.652622,0.65981,0.836053,0.737549,0.631024
32,0.652622,0.65981,0.836053,0.737549,0.631016
33,0.652622,0.65981,0.836053,0.737549,0.631007
34,0.652685,0.659867,0.836053,0.737584,0.630999
35,0.652749,0.659896,0.836163,0.737646,0.630991
36,0.652749,0.659896,0.836163,0.737646,0.630981
37,0.652749,0.659896,0.836163,0.737646,0.630972
38,0.652877,0.66001,0.836163,0.737717,0.630964
39,0.652877,0.66001,0.836163,0.737717,0.630956
40,0.652877,0.66001,0.836163,0.737717,0.630948
41,0.652877,0.66001,0.836163,0.737717,0.630939
42,0.652813,0.659953,0.836163,0.737681,0.63093
43,0.652877,0.66001,0.836163,0.737717,0.630922
44,0.652877,0.66001,0.836163,0.737717,0.630915
45,0.652877,0.66001,0.836163,0.737717,0.630906
46,0.653005,0.660069,0.836382,0.737839,0.630897
47,0.653005,0.660069,0.836382,0.737839,0.63089
48,0.653133,0.660156,0.836491,0.737935,0.63088
49,0.653133,0.660156,0.836491,0.737935,0.630873
50,0.653133,0.660156,0.836491,0.737935,0.630865
51,0.653133,0.660156,0.836491,0.737935,0.630856
52,0.653133,0.660156,0.836491,0.737935,0.630847
53,0.653133,0.660156,0.836491,0.737935,0.630838
54,0.653197,0.660185,0.836601,0.737996,0.630829
55,0.653069,0.660126,0.836382,0.737874,0.63082
56,0.653069,0.660126,0.836382,0.737874,0.630812
57,0.653069,0.660126,0.836382,0.737874,0.630804
58,0.653133,0.660183,0.836382,0.73791,0.630795
59,0.653133,0.660183,0.836382,0.73791,0.630788
60,0.653133,0.660183,0.836382,0.73791,0.63078
61,0.653069,0.660154,0.836272,0.737849,0.63077
62,0.653069,0.660154,0.836272,0.737849,0.630762
63,0.653069,0.660154,0.836272,0.737849,0.630752
64,0.653069,0.660182,0.836163,0.737824,0.630745
65,0.653133,0.660239,0.836163,0.737859,0.630736
66,0.653133,0.660239,0.836163,0.737859,0.630728
67,0.653133,0.660239,0.836163,0.737859,0.63072
68,0.653069,0.660182,0.836163,0.737824,0.630711
69,0.653069,0.660182,0.836163,0.737824,0.630704
70,0.653133,0.660239,0.836163,0.737859,0.630695
71,0.653133,0.660239,0.836163,0.737859,0.630688
72,0.653069,0.660209,0.836053,0.737798,0.63068
73,0.653069,0.660209,0.836053,0.737798,0.630671
74,0.653069,0.660209,0.836053,0.737798,0.630662
75,0.653069,0.660209,0.836053,0.737798,0.630653
76,0.653197,0.660268,0.836272,0.73792,0.630644
77,0.653197,0.660268,0.836272,0.73792,0.630636
78,0.653197,0.660268,0.836272,0.73792,0.630629
79,0.653197,0.660268,0.836272,0.73792,0.630621
80,0.653197,0.660268,0.836272,0.73792,0.630611
81,0.653197,0.660268,0.836272,0.73792,0.630603
82,0.653197,0.660268,0.836272,0.73792,0.630596
83,0.653197,0.660268,0.836272,0.73792,0.630587
84,0.653197,0.660268,0.836272,0.73792,0.630579
85,0.653197,0.660268,0.836272,0.73792,0.630571
86,0.653197,0.660268,0.836272,0.73792,0.630563
87,0.653197,0.660268,0.836272,0.73792,0.630553
88,0.653197,0.660268,0.836272,0.73792,0.630546
89,0.653197,0.660268,0.836272,0.73792,0.630539
90,0.653197,0.660324,0.836053,0.73787,0.63053
91,0.653197,0.660324,0.836053,0.73787,0.630521
92,0.653197,0.660324,0.836053,0.73787,0.630511
93,0.653197,0.660324,0.836053,0.73787,0.630504
94,0.653197,0.660324,0.836053,0.73787,0.630495
95,0.653197,0.660324,0.836053,0.73787,0.630486
96,0.653133,0.660266,0.836053,0.737834,0.630479
97,0.653133,0.660266,0.836053,0.737834,0.630469
98,0.653133,0.660266,0.836053,0.737834,0.630461
99,0.653197,0.660296,0.836163,0.737895,0.630455
100,0.653261,0.660325,0.836272,0.737956,0.630447
101,0.653261,0.660325,0.836272,0.737956,0.630438
102,0.653453,0.660413,0.836601,0.738139,0.630428
103,0.653517,0.66047,0.836601,0.738175,0.630421
104,0.653517,0.66047,0.836601,0.738175,0.630414
105,0.653517,0.66047,0.836601,0.738175,0.630404
106,0.653517,0.66047,0.836601,0.738175,0.630396
107,0.653517,0.66047,0.836601,0.738175,0.630388
108,0.653517,0.66047,0.836601,0.738175,0.630379
109,0.653517,0.66047,0.836601,0.738175,0.630371
110,0.653517,0.66047,0.836601,0.738175,0.630364
111,0.653517,0.66047,0.836601,0.738175,0.630354
112,0.653517,0.66047,0.836601,0.738175,0.630347
113,0.653517,0.66047,0.836601,0.738175,0.630339
114,0.653517,0.66047,0.836601,0.738175,0.63033
115,0.653517,0.66047,0.836601,0.738175,0.630322
116,0.653517,0.66047,0.836601,0.738175,0.630314
117,0.653517,0.66047,0.836601,0.738175,0.630305
118,0.653517,0.66047,0.836601,0.738175,0.630298
119,0.653517,0.66047,0.836601,0.738175,0.630289
120,0.653581,0.660527,0.836601,0.73821,0.630281
121,0.653708,0.660586,0.83682,0.738332,0.630273
122,0.653708,0.660586,0.83682,0.738332,0.630265
123,0.653708,0.660586,0.83682,0.738332,0.630256
124,0.653708,0.660614,0.83671,0.738307,0.630248
125,0.653708,0.660642,0.836601,0.738282,0.63024
126,0.653772,0.660699,0.836601,0.738317,0.630232
127,0.653772,0.660699,0.836601,0.738317,0.630224
128,0.653772,0.660699,0.836601,0.738317,0.630217
129,0.653772,0.660699,0.836601,0.738317,0.630209
130,0.653772,0.660699,0.836601,0.738317,0.6302
131,0.653772,0.660699,0.836601,0.738317,0.630192
132,0.6539,0.660813,0.836601,0.738389,0.630184
133,0.653708,0.660725,0.836272,0.738206,0.630175
134,0.653645,0.66064,0.836382,0.738195,0.630167
135,0.653645,0.66064,0.836382,0.738195,0.630159
136,0.653645,0.66064,0.836382,0.738195,0.630151
137,0.653772,0.660727,0.836491,0.738292,0.630143
138,0.653772,0.660727,0.836491,0.738292,0.630133
139,0.653772,0.660727,0.836491,0.738292,0.630126
140,0.653772,0.660727,0.836491,0.738292,0.630118
141,0.653772,0.660727,0.836491,0.738292,0.63011
142,0.653708,0.660697,0.836382,0.738231,0.630102
143,0.653708,0.660697,0.836382,0.738231,0.630093
144,0.653708,0.660697,0.836382,0.738231,0.630085
145,0.653772,0.660754,0.836382,0.738267,0.630077
146,0.6539,0.660869,0.836382,0.738338,0.630069
147,0.6539,0.660869,0.836382,0.738338,0.630062
148,0.6539,0.660869,0.836382,0.738338,0.630055
149,0.6539,0.660869,0.836382,0.738338,0.630046
150,0.6539,0.660869,0.836382,0.738338,0.630039
151,0.6539,0.660869,0.836382,0.738338,0.630029
152,0.6539,0.660869,0.836382,0.738338,0.630021
153,0.653964,0.660926,0.836382,0.738374,0.630013
154,0.653964,0.660954,0.836272,0.738348,0.630004
155,0.653964,0.660954,0.836272,0.738348,0.629997
156,0.653964,0.660954,0.836272,0.738348,0.629989
157,0.653964,0.660954,0.836272,0.738348,0.629981
158,0.653964,0.660954,0.836272,0.738348,0.629973
159,0.653964,0.660954,0.836272,0.738348,0.629965
160,0.653964,0.660954,0.836272,0.738348,0.629957
161,0.653964,0.660954,0.836272,0.738348,0.629949
162,0.654092,0.66104,0.836382,0.738445,0.629941
163,0.654092,0.66104,0.836382,0.738445,0.629932
164,0.654156,0.661126,0.836272,0.738456,0.629924
165,0.654156,0.661126,0.836272,0.738456,0.629916
166,0.654156,0.661126,0.836272,0.738456,0.629909
167,0.654092,0.661152,0.835943,0.738344,0.6299
168,0.654092,0.661152,0.835943,0.738344,0.629892
169,0.654092,0.661152,0.835943,0.738344,0.629885
170,0.654092,0.661152,0.835943,0.738344,0.629877
171,0.654092,0.661152,0.835943,0.738344,0.629869
172,0.654092,0.661152,0.835943,0.738344,0.629861
173,0.654156,0.661209,0.835943,0.73838,0.629853
174,0.654156,0.661209,0.835943,0.73838,0.629844
175,0.654156,0.661209,0.835943,0.73838,0.629837
176,0.654156,0.661209,0.835943,0.73838,0.629829
177,0.654156,0.661209,0.835943,0.73838,0.629821
178,0.654156,0.661209,0.835943,0.73838,0.629812
179,0.654156,0.661209,0.835943,0.73838,0.629804
180,0.654156,0.661209,0.835943,0.73838,0.629796
181,0.654092,0.661152,0.835943,0.738344,0.629789
182,0.654092,0.661152,0.835943,0.738344,0.629782
183,0.654156,0.661181,0.836053,0.738405,0.629774
184,0.654156,0.661181,0.836053,0.738405,0.629765
185,0.65422,0.661239,0.836053,0.738441,0.629757
186,0.65422,0.661239,0.836053,0.738441,0.62975
187,0.65422,0.661239,0.836053,0.738441,0.629741
188,0.65422,0.661239,0.836053,0.738441,0.629733
189,0.65422,0.661239,0.836053,0.738441,0.629725
190,0.654156,0.661209,0.835943,0.73838,0.629717
191,0.654156,0.661209,0.835943,0.73838,0.629708
192,0.654156,0.661209,0.835943,0.73838,0.629701
193,0.654156,0.661209,0.835943,0.73838,0.629693
194,0.654156,0.661209,0.835943,0.73838,0.629685
195,0.65422,0.661239,0.836053,0.738441,0.629677
196,0.65422,0.661239,0.836053,0.738441,0.629669
197,0.654348,0.661353,0.836053,0.738512,0.629661
198,0.654476,0.661468,0.836053,0.738584,0.629654
199,0.654604,0.661582,0.836053,0.738655,0.629646
200,0.654604,0.661582,0.836053,0.738655,0.629637
201,0.654604,0.661582,0.836053,0.738655,0.62963
202,0.654604,0.661582,0.836053,0.738655,0.629623
203,0.654604,0.661582,0.836053,0.738655,0.629614
204,0.65454,0.661581,0.835834,0.738569,0.629606
205,0.65454,0.661581,0.835834,0.738569,0.629599
206,0.65454,0.661581,0.835834,0.738569,0.629592
207,0.65454,0.661581,0.835834,0.738569,0.629583
208,0.65454,0.661581,0.835834,0.738569,0.629574
209,0.65454,0.661581,0.835834,0.738569,0.629566
210,0.654604,0.661638,0.835834,0.738604,0.629559
211,0.654604,0.661638,0.835834,0.738604,0.629551
212,0.654604,0.661638,0.835834,0.738604,0.629543
213,0.654604,0.661638,0.835834,0.738604,0.629535
214,0.654604,0.661638,0.835834,0.738604,0.629527
215,0.654604,0.661638,0.835834,0.738604,0.629519
216,0.654604,0.661638,0.835834,0.738604,0.62951
217,0.654667,0.661668,0.835943,0.738666,0.629504
218,0.654667,0.661668,0.835943,0.738666,0.629496
219,0.65454,0.661609,0.835724,0.738543,0.629489
220,0.65454,0.661609,0.835724,0.738543,0.629481
221,0.65454,0.661609,0.835724,0.738543,0.629472
222,0.65454,0.661609,0.835724,0.738543,0.629464
223,0.65454,0.661609,0.835724,0.738543,0.629457
224,0.65454,0.661637,0.835615,0.738518,0.629449
225,0.65454,0.661637,0.835615,0.738518,0.629441
226,0.65454,0.661637,0.835615,0.738518,0.629433
227,0.654604,0.661695,0.835615,0.738554,0.629425
228,0.654604,0.661695,0.835615,0.738554,0.629417
229,0.654604,0.661695,0.835615,0.738554,0.62941
230,0.654604,0.661695,0.835615,0.738554,0.629402
231,0.654604,0.661695,0.835615,0.738554,0.629394
232,0.654604,0.661695,0.835615,0.738554,0.629386
233,0.654604,0.661695,0.835615,0.738554,0.629379
234,0.654604,0.661751,0.835396,0.738503,0.629371
235,0.654604,0.661751,0.835396,0.738503,0.629363
236,0.654604,0.661751,0.835396,0.738503,0.629355
237,0.654604,0.661751,0.835396,0.738503,0.629347
238,0.654604,0.661751,0.835396,0.738503,0.629339
239,0.654604,0.661751,0.835396,0.738503,0.629331
240,0.654604,0.661751,0.835396,0.738503,0.629324
241,0.654604,0.661751,0.835396,0.738503,0.629316
242,0.654667,0.661808,0.835396,0.738539,0.629309
243,0.654667,0.661808,0.835396,0.738539,0.629301
244,0.654667,0.661808,0.835396,0.738539,0.629293
245,0.654667,0.66178,0.835505,0.738564,0.629286
246,0.654667,0.66178,0.835505,0.738564,0.629277
247,0.654667,0.66178,0.835505,0.738564,0.62927
248,0.654731,0.661809,0.835615,0.738625,0.629262
249,0.654731,0.661809,0.835615,0.738625,0.629253
250,0.654731,0.661809,0.835615,0.738625,0.629246
251,0.654731,0.661809,0.835615,0.738625,0.629239
252,0.654731,0.661781,0.835724,0.738651,0.629231
253,0.654731,0.661781,0.835724,0.738651,0.629224
254,0.654795,0.661839,0.835724,0.738687,0.629216
255,0.654795,0.661839,0.835724,0.738687,0.629209
256,0.654859,0.661868,0.835834,0.738747,0.629201
257,0.654859,0.661868,0.835834,0.738747,0.629193
258,0.654923,0.661925,0.835834,0.738783,0.629185
259,0.654923,0.661925,0.835834,0.738783,0.629176
260,0.654987,0.661983,0.835834,0.738819,0.62917
261,0.654987,0.661983,0.835834,0.738819,0.629161
262,0.654987,0.661983,0.835834,0.738819,0.629153
263,0.654923,0.661954,0.835724,0.738758,0.629144
264,0.654923,0.661954,0.835724,0.738758,0.629137
265,0.654923,0.661925,0.835834,0.738783,0.629131
266,0.654923,0.661925,0.835834,0.738783,0.629123
267,0.654923,0.661925,0.835834,0.738783,0.629114
268,0.654987,0.661955,0.835943,0.738844,0.629107
269,0.655115,0.662013,0.836163,0.738966,0.6291
270,0.655115,0.662013,0.836163,0.738966,0.629092
271,0.655115,0.662013,0.836163,0.738966,0.629084
272,0.655115,0.662013,0.836163,0.738966,0.629077
273,0.655115,0.662013,0.836163,0.738966,0.629069
274,0.655115,0.662013,0.836163,0.738966,0.629061
275,0.655179,0.662071,0.836163,0.739002,0.629054
276,0.655179,0.662071,0.836163,0.739002,0.629046
277,0.655179,0.662071,0.836163,0.739002,0.629039
278,0.655179,0.662071,0.836163,0.739002,0.629031
279,0.655179,0.662071,0.836163,0.739002,0.629023
280,0.655179,0.662043,0.836272,0.739027,0.629014
281,0.655179,0.662043,0.836272,0.739027,0.629007
282,0.655179,0.662043,0.836272,0.739027,0.629001
283,0.655179,0.662043,0.836272,0.739027,0.628992
284,0.655243,0.6621,0.836272,0.739063,0.628985
285,0.655179,0.662043,0.836272,0.739027,0.628976
286,0.655179,0.662043,0.836272,0.739027,0.628968
287,0.655179,0.662043,0.836272,0.739027,0.628961
288,0.655115,0.662013,0.836163,0.738966,0.628955
289,0.655115,0.662013,0.836163,0.738966,0.628946
290,0.655115,0.662013,0.836163,0.738966,0.628939
291,0.655115,0.662013,0.836163,0.738966,0.628931
292,0.655051,0.661984,0.836053,0.738905,0.628924
293,0.655051,0.661984,0.836053,0.738905,0.628916
294,0.655051,0.661984,0.836053,0.738905,0.628908
295,0.655051,0.661984,0.836053,0.738905,0.628901
296,0.655051,0.661984,0.836053,0.738905,0.628893
297,0.655051,0.661984,0.836053,0.738905,0.628886
298,0.655051,0.661984,0.836053,0.738905,0.628878
299,0.655051,0.661984,0.836053,0.738905,0.628871
300,0.655051,0.661984,0.836053,0.738905,0.628863
301,0.655051,0.661984,0.836053,0.738905,0.628856
302,0.655051,0.661984,0.836053,0.738905,0.628847
303,0.655051,0.661984,0.836053,0.738905,0.62884
304,0.654987,0.661927,0.836053,0.73887,0.628833
305,0.655051,0.661984,0.836053,0.738905,0.628825
306,0.655051,0.661984,0.836053,0.738905,0.628818
307,0.655179,0.662099,0.836053,0.738977,0.62881
308,0.655243,0.662128,0.836163,0.739038,0.628804
309,0.655243,0.662128,0.836163,0.739038,0.628796
310,0.655371,0.662187,0.836382,0.73916,0.628788
311,0.655371,0.662187,0.836382,0.73916,0.62878
312,0.655371,0.662187,0.836382,0.73916,0.628772
313,0.655371,0.662187,0.836382,0.73916,0.628764
314,0.655563,0.662359,0.836382,0.739267,0.628757
315,0.655563,0.662359,0.836382,0.739267,0.628749
316,0.655563,0.662359,0.836382,0.739267,0.628741
317,0.655563,0.662359,0.836382,0.739267,0.628734
318,0.655563,0.662359,0.836382,0.739267,0.628726
319,0.655691,0.662418,0.836601,0.739389,0.628719
320,0.655691,0.662418,0.836601,0.739389,0.628711
321,0.655691,0.662418,0.836601,0.739389,0.628704
322,0.655691,0.662418,0.836601,0.739389,0.628696
323,0.655627,0.662388,0.836491,0.739328,0.628689
324,0.655627,0.662388,0.836491,0.739328,0.628684
325,0.655627,0.662388,0.836491,0.739328,0.628675
326,0.655563,0.662359,0.836382,0.739267,0.628667
327,0.655563,0.662387,0.836272,0.739242,0.62866
328,0.655563,0.662387,0.836272,0.739242,0.628652
329,0.655563,0.662387,0.836272,0.739242,0.628645
330,0.655563,0.662387,0.836272,0.739242,0.628638
331,0.655627,0.662417,0.836382,0.739303,0.62863
332,0.655627,0.662417,0.836382,0.739303,0.628622
333,0.655627,0.662417,0.836382,0.739303,0.628616
334,0.655627,0.662417,0.836382,0.739303,0.628607
335,0.655627,0.662417,0.836382,0.739303,0.6286
336,0.655691,0.662446,0.836491,0.739364,0.628593
337,0.655691,0.662446,0.836491,0.739364,0.628586
338,0.655691,0.662474,0.836382,0.739339,0.628578
339,0.655691,0.662474,0.836382,0.739339,0.62857
340,0.655691,0.662474,0.836382,0.739339,0.628562
341,0.655691,0.662474,0.836382,0.739339,0.628555
342,0.655818,0.662589,0.836382,0.73941,0.628547
343,0.655818,0.662589,0.836382,0.73941,0.628538
344,0.655818,0.662589,0.836382,0.73941,0.628532
345,0.655818,0.662589,0.836382,0.73941,0.628524
346,0.655818,0.662589,0.836382,0.73941,0.628516
347,0.655818,0.662589,0.836382,0.73941,0.628508
348,0.655818,0.662589,0.836382,0.73941,0.628501
349,0.655818,0.662589,0.836382,0.73941,0.628493
350,0.655818,0.662589,0.836382,0.73941,0.628487
351,0.655818,0.662589,0.836382,0.73941,0.628479
352,0.655882,0.662618,0.836491,0.739471,0.628472
353,0.655882,0.662618,0.836491,0.739471,0.628466
354,0.655882,0.662618,0.836491,0.739471,0.628457
355,0.655882,0.662618,0.836491,0.739471,0.628451
356,0.655882,0.662618,0.836491,0.739471,0.628443
357,0.655882,0.662618,0.836491,0.739471,0.628435
358,0.655946,0.662676,0.836491,0.739507,0.628427
359,0.655946,0.662676,0.836491,0.739507,0.628419
360,0.655946,0.662676,0.836491,0.739507,0.628412
361,0.655946,0.662676,0.836491,0.739507,0.628405
362,0.655946,0.662676,0.836491,0.739507,0.628398
363,0.65601,0.662733,0.836491,0.739543,0.62839
364,0.656074,0.662762,0.836601,0.739604,0.628383
365,0.656138,0.66282,0.836601,0.73964,0.628376
366,0.656138,0.66282,0.836601,0.73964,0.628368
367,0.656138,0.66282,0.836601,0.73964,0.62836
368,0.656138,0.66282,0.836601,0.73964,0.628353
369,0.656138,0.66282,0.836601,0.73964,0.628346
370,0.656138,0.66282,0.836601,0.73964,0.628338
371,0.656138,0.66282,0.836601,0.73964,0.62833
372,0.656138,0.66282,0.836601,0.73964,0.628323
373,0.656138,0.66282,0.836601,0.73964,0.628315
374,0.656138,0.66282,0.836601,0.73964,0.628309
375,0.656138,0.66282,0.836601,0.73964,0.628302
376,0.656138,0.662848,0.836491,0.739615,0.628295
377,0.656202,0.662878,0.836601,0.739676,0.628288
378,0.656202,0.662878,0.836601,0.739676,0.62828
379,0.656202,0.662878,0.836601,0.739676,0.628273
380,0.656202,0.662878,0.836601,0.739676,0.628265
381,0.656202,0.662878,0.836601,0.739676,0.628257
382,0.656202,0.662878,0.836601,0.739676,0.628249
383,0.656202,0.662878,0.836601,0.739676,0.628242
384,0.656202,0.662878,0.836601,0.739676,0.628235
385,0.656202,0.662878,0.836601,0.739676,0.628229
386,0.656202,0.662878,0.836601,0.739676,0.62822
387,0.656266,0.662907,0.83671,0.739737,0.628214
388,0.656074,0.662847,0.836272,0.739528,0.628206
389,0.656074,0.662847,0.836272,0.739528,0.628199
390,0.656202,0.662962,0.836272,0.7396,0.628191
391,0.656202,0.662962,0.836272,0.7396,0.628185
392,0.656266,0.662992,0.836382,0.739661,0.628177
393,0.656266,0.662992,0.836382,0.739661,0.628169
394,0.656266,0.662992,0.836382,0.739661,0.628162
395,0.656266,0.662992,0.836382,0.739661,0.628155
396,0.656266,0.662992,0.836382,0.739661,0.628148
397,0.656266,0.662992,0.836382,0.739661,0.628141
398,0.656202,0.662934,0.836382,0.739625,0.628134
399,0.656202,0.662934,0.836382,0.739625,0.628126
400,0.656202,0.662934,0.836382,0.739625,0.628119
401,0.656202,0.662934,0.836382,0.739625,0.628112
402,0.656138,0.662905,0.836272,0.739564,0.628104
403,0.656138,0.662905,0.836272,0.739564,0.628096
404,0.656138,0.662905,0.836272,0.739564,0.628088
405,0.656138,0.662905,0.836272,0.739564,0.628081
406,0.656202,0.662962,0.836272,0.7396,0.628075
407,0.656138,0.662933,0.836163,0.739539,0.628067
408,0.656138,0.662933,0.836163,0.739539,0.62806
409,0.656138,0.662933,0.836163,0.739539,0.628053
410,0.656074,0.662875,0.836163,0.739503,0.628046
411,0.656074,0.662875,0.836163,0.739503,0.628038
412,0.656074,0.662875,0.836163,0.739503,0.628031
