epoch,accuracy,precision,recall,f1,cost
1,0.50624,0.50624,1,0.67219,0.69319
2,0.50624,0.50624,1,0.67219,0.692273
3,0.507105,0.506678,1,0.672577,0.691792
4,0.507105,0.506678,1,0.672577,0.691475
5,0.507476,0.506866,1,0.672742,0.691224
6,0.507352,0.506804,1,0.672687,0.691005
7,0.509082,0.507688,0.999268,0.6733,0.690799
8,0.509453,0.507877,0.999268,0.673466,0.690605
9,0.5118,0.509095,0.997315,0.674091,0.690416
10,0.512418,0.509427,0.995851,0.674046,0.69023
11,0.51316,0.509853,0.991457,0.673408,0.690053
12,0.515754,0.511237,0.988284,0.673879,0.689879
13,0.519832,0.513448,0.983158,0.674594,0.689708
14,0.521191,0.514245,0.978033,0.674069,0.689544
15,0.524527,0.516116,0.973151,0.674505,0.68938
16,0.52428,0.516112,0.965585,0.672675,0.689221
17,0.526381,0.517437,0.956065,0.671467,0.689067
18,0.530088,0.519616,0.950452,0.671901,0.688916
19,0.532312,0.520979,0.94557,0.671811,0.688765
20,0.53503,0.522647,0.940688,0.671955,0.688622
21,0.537254,0.524063,0.935563,0.671808,0.688478
22,0.54022,0.525953,0.929949,0.671898,0.68834
23,0.541826,0.527055,0.924823,0.671451,0.6882
24,0.544915,0.529065,0.919697,0.671718,0.688065
25,0.547387,0.530728,0.914816,0.671745,0.687932
26,0.549364,0.532115,0.909934,0.67153,0.687802
27,0.550723,0.533142,0.905052,0.67101,0.687674
28,0.552329,0.534268,0.901879,0.671025,0.687549
29,0.553812,0.535381,0.897486,0.670679,0.687425
30,0.554677,0.536149,0.89236,0.669842,0.687304
31,0.556283,0.537316,0.889187,0.669854,0.687181
32,0.55789,0.538507,0.88577,0.669804,0.687063
33,0.559002,0.539427,0.881621,0.669323,0.686949
34,0.560608,0.54061,0.878936,0.669455,0.686833
35,0.562461,0.542058,0.874542,0.669282,0.686719
36,0.56345,0.542922,0.870637,0.668792,0.686608
37,0.563944,0.543492,0.866244,0.667921,0.686497
38,0.564809,0.544238,0.863315,0.66761,0.686388
39,0.566168,0.545244,0.86185,0.667928,0.686282
40,0.566415,0.54561,0.858433,0.667172,0.686172
41,0.567404,0.546374,0.856969,0.6673,0.68607
42,0.568516,0.547258,0.855016,0.667365,0.685965
43,0.568763,0.547623,0.851843,0.666667,0.685863
44,0.568145,0.547372,0.848914,0.665582,0.685763
45,0.56901,0.548081,0.847205,0.66558,0.685661
46,0.569381,0.548479,0.845009,0.665194,0.685563
47,0.569999,0.549023,0.8433,0.665063,0.685466
48,0.57247,0.550806,0.842812,0.666216,0.685367
49,0.572841,0.551249,0.840127,0.6657,0.685271
50,0.573953,0.552145,0.838662,0.665891,0.685175
-1,0.550422,0.538561,0.811523,0.647448,-1
