epoch,accuracy,precision,recall,f1,cost,time
1,0.50624,0.50624,1,0.67219,0.693147,136
2,0.50624,0.50624,1,0.67219,0.692274,136
3,0.507105,0.506678,1,0.672577,0.691792,136
4,0.507105,0.506678,1,0.672577,0.691475,136
5,0.507476,0.506866,1,0.672742,0.691225,136
6,0.507352,0.506804,1,0.672687,0.691005,136
7,0.509082,0.507688,0.999268,0.6733,0.6908,135
8,0.509453,0.507877,0.999268,0.673466,0.690604,136
9,0.5118,0.509095,0.997315,0.674091,0.690415,136
10,0.512418,0.509427,0.995851,0.674046,0.690231,136
11,0.51316,0.509853,0.991457,0.673408,0.690053,136
12,0.515754,0.511237,0.988284,0.673879,0.689878,136
13,0.519832,0.513448,0.983158,0.674594,0.689708,136
14,0.521191,0.514245,0.978033,0.674068,0.689542,136
15,0.524527,0.516117,0.973151,0.674505,0.68938,136
16,0.52428,0.516112,0.965585,0.672675,0.689222,136
17,0.526381,0.517437,0.956065,0.671467,0.689067,136
18,0.530088,0.519616,0.950452,0.671901,0.688915,136
19,0.532312,0.520979,0.94557,0.671811,0.688766,136
20,0.53503,0.522647,0.940688,0.671955,0.688621,136
21,0.537254,0.524063,0.935563,0.671808,0.688478,136
22,0.54022,0.525953,0.929949,0.671898,0.688338,136
23,0.541826,0.527055,0.924823,0.671451,0.6882,136
24,0.544915,0.529065,0.919697,0.671718,0.688065,136
25,0.547387,0.530728,0.914816,0.671745,0.687933,136
26,0.549364,0.532115,0.909934,0.67153,0.687802,136
27,0.550723,0.533142,0.905052,0.67101,0.687674,136
28,0.552329,0.534268,0.901879,0.671025,0.687549,135
29,0.553812,0.535381,0.897486,0.670679,0.687425,135
30,0.554677,0.536149,0.89236,0.669842,0.687303,136
31,0.556283,0.537316,0.889187,0.669854,0.687183,136
32,0.55789,0.538507,0.88577,0.669804,0.687064,135
33,0.559002,0.539427,0.881621,0.669323,0.686948,136
34,0.560608,0.54061,0.878936,0.669455,0.686833,136
35,0.562461,0.542057,0.874542,0.669282,0.686719,136
36,0.56345,0.542922,0.870637,0.668792,0.686607,136
37,0.563944,0.543492,0.866244,0.667921,0.686497,136
38,0.564809,0.544238,0.863315,0.66761,0.686388,136
39,0.566168,0.545244,0.86185,0.667928,0.686281,136
40,0.566415,0.54561,0.858433,0.667173,0.686174,136
41,0.567404,0.546374,0.856969,0.6673,0.686069,136
42,0.568516,0.547258,0.855016,0.667365,0.685966,136
43,0.568763,0.547623,0.851843,0.666667,0.685863,136
44,0.568145,0.547372,0.848914,0.665582,0.685762,136
45,0.56901,0.548081,0.847205,0.66558,0.685662,136
46,0.569381,0.548479,0.845009,0.665194,0.685562,136
47,0.569999,0.549023,0.8433,0.665063,0.685464,149
48,0.57247,0.550806,0.842812,0.666216,0.685367,143
49,0.572841,0.551249,0.840127,0.6657,0.685271,136
50,0.573953,0.552145,0.838662,0.665891,0.685176,136
51,0.573829,0.552241,0.835978,0.665113,0.685081,143
52,0.573953,0.552517,0.833293,0.664461,0.684988,139
53,0.574818,0.553195,0.83256,0.664718,0.684895,136
54,0.575188,0.553569,0.831096,0.66452,0.684804,135
55,0.575312,0.553781,0.829387,0.664126,0.684713,136
56,0.574818,0.553612,0.826702,0.663142,0.684623,136
57,0.575188,0.55399,0.825238,0.662941,0.684533,135
58,0.575683,0.554532,0.822797,0.662539,0.684445,135
59,0.576548,0.555262,0.821577,0.662664,0.684357,136
60,0.578648,0.55688,0.820845,0.663575,0.68427,136
61,0.579142,0.557344,0.819624,0.663505,0.684183,136
62,0.57939,0.557664,0.817916,0.66317,0.684097,136
63,0.578895,0.557484,0.815475,0.66224,0.684012,136
64,0.57939,0.557914,0.814742,0.662302,0.683928,136
65,0.579019,0.557828,0.812302,0.661433,0.683844,136
66,0.57976,0.558507,0.810837,0.661424,0.683761,136
67,0.579884,0.558719,0.809373,0.661085,0.683678,136
68,0.580131,0.558987,0.808396,0.660946,0.683596,136
69,0.57976,0.558804,0.807176,0.660409,0.683514,136
70,0.579142,0.558589,0.804003,0.659196,0.683434,136
71,0.579637,0.559048,0.803027,0.659187,0.683353,136
72,0.57976,0.559264,0.801562,0.658842,0.683273,135
73,0.580255,0.559707,0.80083,0.658901,0.683194,135
74,0.580625,0.560075,0.799854,0.658826,0.683115,136
75,0.580378,0.560007,0.798389,0.658281,0.683037,135
76,0.580749,0.560336,0.797901,0.658343,0.682959,135
77,0.580625,0.560261,0.797657,0.658207,0.682881,136
78,0.580502,0.560289,0.796192,0.657728,0.682805,136
79,0.580625,0.560447,0.79546,0.657587,0.682728,135
80,0.581119,0.560938,0.79424,0.657507,0.682652,136
81,0.581367,0.561131,0.79424,0.657639,0.682577,136
82,0.581737,0.561485,0.793507,0.657631,0.682501,136
83,0.582602,0.56223,0.792775,0.657889,0.682427,136
84,0.582355,0.562121,0.791799,0.657479,0.682352,136
85,0.582355,0.562186,0.791067,0.65727,0.682279,136
86,0.582479,0.56237,0.79009,0.657059,0.682205,136
87,0.582602,0.562533,0.789358,0.656917,0.682132,136
88,0.582849,0.562772,0.78887,0.656911,0.682059,137
89,0.583097,0.563012,0.788382,0.656905,0.681987,136
90,0.583591,0.563471,0.787649,0.656963,0.681915,135
91,0.583591,0.56356,0.786673,0.656683,0.681844,135
