epoch,accuracy,precision,recall,f1,cost
1,0.583824,0.583824,1,0.737233,0.693271
2,0.583824,0.583824,1,0.737233,0.682349
3,0.583824,0.583824,1,0.737233,0.68073
4,0.583824,0.583824,1,0.737233,0.680092
5,0.583824,0.583824,1,0.737233,0.679576
6,0.583824,0.583824,1,0.737233,0.679087
7,0.583824,0.583824,1,0.737233,0.67861
8,0.583824,0.583824,1,0.737233,0.678144
9,0.583824,0.583824,1,0.737233,0.67769
10,0.583824,0.583824,1,0.737233,0.677248
11,0.583824,0.583824,1,0.737233,0.676815
12,0.583824,0.583824,1,0.737233,0.676395
13,0.583824,0.583824,1,0.737233,0.675984
14,0.583824,0.583824,1,0.737233,0.675581
15,0.583824,0.583824,1,0.737233,0.675188
16,0.58376,0.583797,0.999891,0.737182,0.674803
17,0.583887,0.583872,0.999891,0.737242,0.674431
18,0.583887,0.583882,0.999781,0.73722,0.674059
19,0.583951,0.58392,0.999781,0.73725,0.673704
20,0.584079,0.584005,0.999671,0.737288,0.673346
21,0.584207,0.58408,0.999671,0.737348,0.673006
22,0.584335,0.584165,0.999562,0.737386,0.672669
23,0.584527,0.584321,0.999124,0.737391,0.672339
24,0.584719,0.584466,0.998795,0.737417,0.672017
25,0.585102,0.584723,0.998467,0.737532,0.671699
26,0.585614,0.585067,0.998029,0.737686,0.671395
27,0.586445,0.585611,0.997481,0.737968,0.671091
28,0.58734,0.586182,0.997043,0.738302,0.670792
29,0.588107,0.586736,0.996057,0.73847,0.670501
30,0.588363,0.586933,0.995619,0.738505,0.670211
31,0.589067,0.587429,0.994853,0.738687,0.669935
32,0.589834,0.587919,0.994524,0.738984,0.669659
33,0.590921,0.588613,0.994086,0.73941,0.669389
34,0.591944,0.589271,0.993648,0.739808,0.669125
35,0.593159,0.590069,0.992991,0.740254,0.668866
36,0.593222,0.590201,0.992115,0.740114,0.66861
37,0.593734,0.590615,0.991129,0.740165,0.66836
38,0.594054,0.590879,0.990472,0.740189,0.668111
39,0.594693,0.591373,0.989486,0.740301,0.667873
40,0.594885,0.591645,0.988063,0.740115,0.667636
41,0.595716,0.592247,0.987186,0.740339,0.667403
42,0.596995,0.593112,0.98642,0.740799,0.667172
43,0.597442,0.593571,0.984777,0.740692,0.666947
44,0.598018,0.59406,0.983572,0.740732,0.666727
45,0.598785,0.59462,0.982806,0.740949,0.666511
46,0.599616,0.595233,0.98193,0.741176,0.666292
47,0.600448,0.5959,0.980615,0.741317,0.666083
48,0.60032,0.596064,0.978535,0.740848,0.665876
49,0.601023,0.596631,0.977439,0.740971,0.665673
50,0.601279,0.597011,0.975578,0.740728,0.665472
51,0.601726,0.597422,0.974483,0.740728,0.665276
52,0.601726,0.597618,0.97284,0.740404,0.665078
53,0.602685,0.598408,0.971307,0.740564,0.66489
54,0.603453,0.598973,0.970649,0.740806,0.6647
55,0.603517,0.599349,0.967911,0.740294,0.664514
56,0.604348,0.600122,0.96594,0.740305,0.664331
57,0.604668,0.600463,0.964845,0.740243,0.664154
58,0.604731,0.600724,0.963093,0.739924,0.663974
59,0.605691,0.601521,0.961669,0.740107,0.663803
60,0.606266,0.602102,0.960026,0.740059,0.663632
61,0.606522,0.60245,0.958603,0.739899,0.663461
62,0.607609,0.603284,0.957617,0.740233,0.663292
63,0.607864,0.603594,0.956522,0.740138,0.663128
64,0.607864,0.603866,0.954441,0.739719,0.662964
65,0.608056,0.604223,0.952689,0.739459,0.662804
66,0.608632,0.604805,0.951155,0.739432,0.662643
67,0.60812,0.604818,0.948527,0.738647,0.66249
68,0.608951,0.605515,0.947432,0.738833,0.662337
69,0.609143,0.60585,0.945899,0.738615,0.662184
70,0.609143,0.605999,0.944803,0.738392,0.662035
71,0.609527,0.606419,0.943599,0.738335,0.661887
72,0.609719,0.606712,0.942394,0.738183,0.66174
73,0.60991,0.606886,0.942065,0.738211,0.661598
74,0.610294,0.607234,0.941408,0.738266,0.661455
75,0.610486,0.607423,0.94097,0.738271,0.661319
76,0.611125,0.607944,0.940313,0.738454,0.661179
77,0.612724,0.609084,0.939875,0.739159,0.661043
78,0.612596,0.609184,0.938561,0.738825,0.660906
79,0.612916,0.609494,0.937904,0.738849,0.660771
80,0.613299,0.609801,0.937575,0.738973,0.660643
81,0.613491,0.609979,0.937247,0.739001,0.660515
82,0.613363,0.609986,0.93659,0.738802,0.660383
83,0.613619,0.610396,0.934947,0.738591,0.660256
84,0.613811,0.610622,0.93429,0.738551,0.660128
85,0.614066,0.610876,0.933742,0.738566,0.660007
86,0.614066,0.611019,0.932757,0.738362,0.659887
87,0.614194,0.611251,0.931771,0.738221,0.659764
88,0.614386,0.611463,0.931223,0.738204,0.659643
89,0.615153,0.612088,0.930566,0.738452,0.659527
90,0.615985,0.612759,0.929909,0.738733,0.65941
91,0.615985,0.612857,0.929252,0.738597,0.659296
92,0.61656,0.613321,0.928814,0.738795,0.659181
93,0.61688,0.613625,0.928266,0.738842,0.659068
94,0.61688,0.613757,0.92739,0.73866,0.658958
95,0.617391,0.614162,0.927062,0.73885,0.658847
96,0.617711,0.614518,0.926186,0.738828,0.658737
97,0.617775,0.61468,0.925419,0.738701,0.658628
98,0.617775,0.614763,0.924871,0.738587,0.658522
99,0.617775,0.614847,0.924324,0.738472,0.658418
100,0.618286,0.615272,0.923886,0.738639,0.658314
101,0.618606,0.615632,0.92301,0.738618,0.658211
102,0.61835,0.615655,0.921695,0.738213,0.65811
103,0.618478,0.615965,0.920272,0.737979,0.658008
104,0.619118,0.616434,0.920162,0.73828,0.657906
105,0.619118,0.616554,0.919395,0.738119,0.657806
106,0.619054,0.616749,0.917862,0.737764,0.657713
107,0.618926,0.616727,0.917424,0.737607,0.657617
108,0.618926,0.616968,0.915891,0.737283,0.657517
109,0.619437,0.617384,0.915562,0.737474,0.657424
110,0.619373,0.61746,0.914796,0.737279,0.657331
111,0.619629,0.61766,0.914686,0.737386,0.657238
112,0.620141,0.618096,0.914248,0.737554,0.657147
113,0.620332,0.618338,0.913591,0.737512,0.657052
114,0.620013,0.618267,0.912605,0.73714,0.656966
115,0.619821,0.618217,0.912058,0.736926,0.656875
116,0.620077,0.618524,0.911291,0.736893,0.656789
117,0.620077,0.61863,0.910634,0.736753,0.6567
118,0.620652,0.619097,0.910306,0.736977,0.65661
119,0.62046,0.619048,0.909758,0.736763,0.656529
120,0.620716,0.619339,0.909101,0.736753,0.656443
121,0.621164,0.619734,0.908663,0.736889,0.656357
122,0.62078,0.619653,0.907458,0.736435,0.656275
123,0.620652,0.619757,0.906253,0.736112,0.65619
124,0.620716,0.619965,0.905268,0.735933,0.656111
125,0.621355,0.620521,0.90472,0.736143,0.656026
126,0.621803,0.62092,0.904282,0.736279,0.655946
127,0.621739,0.620983,0.903625,0.736105,0.655865
128,0.621419,0.620877,0.902858,0.735776,0.655787
129,0.621611,0.62109,0.90242,0.73578,0.65571
130,0.622123,0.62152,0.902092,0.735972,0.655633
131,0.622059,0.621565,0.901544,0.735821,0.655555
132,0.622187,0.621714,0.901216,0.735816,0.65548
133,0.622251,0.621853,0.900668,0.735731,0.655405
134,0.62257,0.62218,0.90012,0.735777,0.655331
135,0.622826,0.622369,0.90012,0.735909,0.655252
136,0.623018,0.622529,0.900011,0.735984,0.655183
137,0.622762,0.622414,0.899573,0.735758,0.655113
138,0.62257,0.622328,0.899244,0.735588,0.655036
139,0.622315,0.622214,0.898806,0.735361,0.654966
140,0.621931,0.622172,0.897383,0.734855,0.654894
141,0.622379,0.62254,0.897164,0.735038,0.654826
142,0.622315,0.622548,0.896835,0.734934,0.654754
143,0.622315,0.622586,0.896616,0.734886,0.654684
144,0.622379,0.622708,0.896178,0.734824,0.654614
145,0.622442,0.622811,0.895849,0.734786,0.654549
146,0.622251,0.622762,0.895302,0.734567,0.654483
147,0.622123,0.622742,0.894864,0.734406,0.654414
148,0.622315,0.622941,0.894535,0.734433,0.65435
149,0.622379,0.623045,0.894207,0.734395,0.654279
150,0.622251,0.623025,0.893768,0.734233,0.654218
151,0.622315,0.623204,0.893002,0.734099,0.654153
152,0.622251,0.62325,0.892454,0.733946,0.654085
153,0.622315,0.623336,0.892235,0.733931,0.654022
154,0.622059,0.623277,0.891469,0.733631,0.653962
155,0.621995,0.623381,0.890593,0.733405,0.653897
156,0.621995,0.623399,0.890483,0.733381,0.653836
157,0.621995,0.623456,0.890154,0.733309,0.653774
158,0.621419,0.623196,0.889169,0.732795,0.653713
159,0.621931,0.623579,0.889169,0.733059,0.653654
160,0.622379,0.623953,0.88895,0.733243,0.653592
161,0.622442,0.624058,0.888621,0.733204,0.653531
162,0.622379,0.624105,0.888074,0.73305,0.653475
163,0.622379,0.624143,0.887855,0.733002,0.653412
164,0.622379,0.624163,0.887745,0.732978,0.653353
165,0.622442,0.624249,0.887526,0.732963,0.653296
166,0.622379,0.62422,0.887416,0.732905,0.653237
167,0.62257,0.624595,0.886102,0.732715,0.65318
168,0.622826,0.624788,0.886102,0.732847,0.653125
169,0.62289,0.624932,0.885555,0.732759,0.653067
170,0.623465,0.625387,0.885445,0.733034,0.653012
171,0.623465,0.625464,0.885007,0.732937,0.652956
172,0.62321,0.625387,0.88435,0.732659,0.652902
173,0.62321,0.625426,0.884131,0.73261,0.652843
174,0.623338,0.625562,0.883912,0.732628,0.652792
175,0.62321,0.625465,0.883912,0.732562,0.652737
176,0.62321,0.625504,0.883693,0.732513,0.652681
177,0.623338,0.625659,0.883364,0.732507,0.652628
178,0.623338,0.625757,0.882817,0.732385,0.652577
179,0.623146,0.625689,0.882379,0.732188,0.652522
180,0.622954,0.625661,0.881722,0.731942,0.652468
181,0.623274,0.625982,0.881284,0.732011,0.652419
182,0.62321,0.625953,0.881174,0.731954,0.652372
183,0.622954,0.625876,0.880517,0.731674,0.652317
184,0.623274,0.626178,0.880188,0.731767,0.652267
185,0.623274,0.626257,0.87975,0.73167,0.652215
186,0.623529,0.626551,0.879203,0.731681,0.652167
187,0.623529,0.62669,0.878436,0.731509,0.652115
188,0.623593,0.626778,0.878217,0.731494,0.652064
189,0.623529,0.626769,0.877998,0.731411,0.652017
190,0.623529,0.626828,0.877669,0.731338,0.651967
191,0.623721,0.627015,0.87745,0.731389,0.651919
192,0.623913,0.627202,0.877231,0.73144,0.65187
193,0.624041,0.62732,0.877122,0.731482,0.65182
194,0.624105,0.627429,0.876793,0.731442,0.651774
195,0.624552,0.627834,0.876465,0.731603,0.651725
196,0.62468,0.627953,0.876355,0.731645,0.651676
197,0.62468,0.627953,0.876355,0.731645,0.651631
198,0.624744,0.628022,0.876246,0.731654,0.651586
199,0.62468,0.628073,0.875698,0.731498,0.651541
200,0.624361,0.627967,0.874932,0.731158,0.651493
201,0.624297,0.627978,0.874603,0.731051,0.651447
202,0.624041,0.627881,0.874055,0.730794,0.651404
203,0.624105,0.627991,0.873727,0.730753,0.651354
204,0.623721,0.627836,0.87296,0.73038,0.65131
205,0.62321,0.627621,0.871975,0.72989,0.651269
206,0.623402,0.62781,0.871756,0.72994,0.651225
207,0.623913,0.628226,0.871646,0.730183,0.651183
208,0.623913,0.628247,0.871537,0.730159,0.651133
209,0.623977,0.628337,0.871318,0.730143,0.651094
210,0.623913,0.628368,0.870879,0.73001,0.651047
211,0.623721,0.628321,0.870332,0.729786,0.651004
212,0.623785,0.628431,0.870003,0.729745,0.650963
213,0.623785,0.628452,0.869894,0.72972,0.650919
214,0.623785,0.628513,0.869565,0.729645,0.650877
215,0.623849,0.628603,0.869346,0.729629,0.650835
216,0.623913,0.628673,0.869237,0.729638,0.650792
217,0.623849,0.628685,0.868908,0.72953,0.650751
218,0.623849,0.628725,0.868689,0.72948,0.65071
219,0.624041,0.628895,0.86858,0.729556,0.650669
220,0.623977,0.628886,0.868361,0.729472,0.650628
221,0.624233,0.629086,0.868361,0.729607,0.650586
222,0.624361,0.629206,0.868251,0.729649,0.650547
223,0.624361,0.629206,0.868251,0.729649,0.650507
224,0.624425,0.629256,0.868251,0.729683,0.650466
225,0.624552,0.629377,0.868141,0.729725,0.650428
226,0.624616,0.629488,0.867813,0.729684,0.650385
227,0.624552,0.629541,0.867265,0.729526,0.650347
228,0.624808,0.629742,0.867265,0.72966,0.650305
229,0.625128,0.629992,0.867265,0.729828,0.65027
230,0.625192,0.630084,0.867046,0.729812,0.650228
231,0.625128,0.630054,0.866937,0.729753,0.65019
232,0.625064,0.630045,0.866718,0.72967,0.650153
233,0.625064,0.630045,0.866718,0.72967,0.650117
234,0.625128,0.630075,0.866827,0.729729,0.650076
235,0.625256,0.630196,0.866718,0.729771,0.650038
236,0.62532,0.630267,0.866608,0.72978,0.649998
237,0.62532,0.630308,0.866389,0.72973,0.649962
238,0.625192,0.63027,0.866061,0.729588,0.649925
239,0.625128,0.63022,0.866061,0.729554,0.649886
240,0.625,0.630244,0.865404,0.729337,0.64985
241,0.624936,0.630277,0.864965,0.729203,0.649812
242,0.624808,0.63028,0.864418,0.729011,0.64978
243,0.624808,0.630301,0.864308,0.728986,0.649742
244,0.624872,0.630372,0.864199,0.728994,0.649702
245,0.624744,0.630313,0.86398,0.728877,0.649669
246,0.62468,0.630304,0.863761,0.728793,0.649634
247,0.624872,0.630497,0.863542,0.728844,0.649594
248,0.625,0.630598,0.863542,0.728911,0.649562
249,0.625064,0.630649,0.863542,0.728945,0.649528
250,0.625064,0.63067,0.863432,0.72892,0.649491
-1,0.570241,0.582639,0.858424,0.694142,-1
