epoch,accuracy,precision,recall,f1,cost
1,0.510139,0.510139,1,0.675619,0.693132
2,0.510139,0.510139,1,0.675619,0.692018
3,0.511117,0.510638,1,0.676056,0.691426
4,0.511117,0.510638,1,0.676056,0.691059
5,0.511117,0.510638,1,0.676056,0.690782
6,0.511117,0.510638,1,0.676056,0.690541
7,0.512338,0.511263,1,0.676604,0.690322
8,0.512338,0.511263,1,0.676604,0.690111
9,0.513804,0.512033,0.998563,0.676948,0.689907
10,0.515026,0.512663,0.998563,0.677498,0.68971
11,0.517713,0.514067,0.997605,0.678502,0.689515
12,0.51869,0.514589,0.996648,0.678734,0.689326
13,0.519668,0.515136,0.994253,0.678653,0.68914
14,0.522844,0.516837,0.992337,0.679678,0.688959
15,0.526997,0.519076,0.990421,0.681159,0.688782
16,0.528952,0.520202,0.98659,0.681217,0.68861
17,0.532128,0.522038,0.981322,0.681523,0.688438
18,0.532861,0.522506,0.978448,0.681227,0.68827
19,0.533105,0.522721,0.975096,0.680595,0.688106
20,0.533594,0.523121,0.969828,0.679644,0.687945
21,0.536526,0.524928,0.963123,0.679507,0.687787
22,0.537992,0.52586,0.959291,0.679329,0.687629
23,0.539458,0.526859,0.953544,0.678711,0.687476
24,0.542878,0.528864,0.952107,0.680007,0.687326
25,0.541412,0.528277,0.943965,0.677436,0.687178
26,0.541656,0.528571,0.939176,0.67644,0.687032
27,0.542878,0.529412,0.935345,0.67613,0.686888
28,0.546543,0.531642,0.933429,0.677442,0.686747
29,0.54923,0.533333,0.931035,0.678179,0.686607
30,0.551185,0.53464,0.927682,0.67834,0.686471
31,0.551918,0.535278,0.922893,0.677567,0.686333
32,0.554361,0.536892,0.920019,0.67808,0.6862
33,0.55485,0.537318,0.917146,0.677636,0.686069
34,0.555094,0.537595,0.914272,0.67707,0.685938
35,0.555583,0.538134,0.909004,0.676046,0.685811
36,0.55656,0.538856,0.906609,0.675951,0.685686
37,0.559736,0.540951,0.904693,0.677061,0.685558
38,0.561202,0.54193,0.903736,0.677558,0.685434
39,0.561935,0.542544,0.900862,0.677228,0.685312
40,0.563157,0.543478,0.897988,0.67714,0.685191
41,0.564867,0.544713,0.895594,0.677414,0.685072
42,0.565111,0.545003,0.893199,0.676951,0.684954
43,0.568532,0.54727,0.89272,0.678558,0.684836
44,0.568776,0.547598,0.889847,0.677979,0.684721
45,0.56902,0.547957,0.886494,0.677278,0.684608
46,0.567799,0.5474,0.882184,0.675591,0.684494
47,0.568532,0.547974,0.880747,0.675606,0.684382
48,0.569265,0.548551,0.87931,0.675621,0.684271
49,0.569753,0.548996,0.877395,0.675392,0.684161
50,0.571463,0.550241,0.875958,0.675905,0.684053
51,0.570975,0.55006,0.873563,0.675056,0.683945
52,0.571952,0.550878,0.871169,0.674954,0.683838
53,0.572196,0.551169,0.869253,0.674596,0.683732
54,0.573418,0.552039,0.868774,0.675102,0.683628
55,0.573907,0.552535,0.866379,0.674748,0.683525
56,0.572929,0.552083,0.863027,0.673393,0.683421
57,0.572685,0.552106,0.860153,0.672533,0.683319
58,0.573418,0.55268,0.859195,0.672666,0.683217
59,0.573662,0.553014,0.856801,0.672177,0.683119
60,0.573662,0.553047,0.856322,0.672054,0.683019
61,0.573907,0.553251,0.855843,0.672057,0.682921
62,0.575373,0.554314,0.855364,0.672693,0.682821
63,0.576106,0.555002,0.852969,0.672456,0.682724
64,0.57635,0.555209,0.85249,0.672459,0.682628
65,0.577083,0.555904,0.850096,0.672221,0.682533
66,0.57806,0.556708,0.848659,0.672358,0.682438
67,0.577571,0.556535,0.846264,0.67148,0.682343
68,0.577571,0.556642,0.844828,0.671105,0.682252
69,0.578304,0.557242,0.84387,0.671238,0.682157
70,0.578549,0.557491,0.842912,0.671115,0.682064
71,0.579526,0.558235,0.842433,0.671502,0.681974
72,0.580015,0.558665,0.841475,0.671508,0.681882
73,0.580748,0.559236,0.840996,0.671767,0.681793
74,0.580992,0.559452,0.840517,0.67177,0.681702
75,0.580503,0.559322,0.837644,0.670757,0.681614
76,0.580503,0.559398,0.836686,0.670505,0.681523
77,0.580503,0.559627,0.833812,0.669744,0.681436
78,0.580503,0.559704,0.832854,0.66949,0.68135
79,0.580503,0.559819,0.831418,0.669108,0.681263
80,0.580503,0.559897,0.83046,0.668852,0.681176
81,0.580259,0.559871,0.828544,0.668212,0.68109
82,0.580503,0.560052,0.828544,0.668341,0.681005
83,0.580259,0.559948,0.827586,0.667955,0.680919
84,0.581236,0.560714,0.827107,0.668344,0.680836
85,0.581725,0.561118,0.826628,0.668474,0.680752
86,0.581236,0.560872,0.825192,0.667829,0.68067
87,0.580992,0.560769,0.824234,0.667442,0.680585
88,0.581969,0.561501,0.824234,0.66796,0.680503
89,0.580992,0.560968,0.821839,0.666796,0.680421
90,0.581725,0.561599,0.820881,0.666926,0.68034
91,0.582214,0.561967,0.820881,0.667186,0.68026
92,0.582946,0.562562,0.820402,0.667446,0.680179
93,0.582214,0.56213,0.818965,0.666667,0.6801
94,0.581725,0.561883,0.817529,0.666016,0.680019
95,0.580748,0.561346,0.815134,0.664844,0.67994
96,0.580503,0.561282,0.813697,0.664321,0.679861
97,0.580503,0.561363,0.812739,0.664058,0.679783
98,0.580503,0.561363,0.812739,0.664058,0.679704
99,0.580992,0.561775,0.812261,0.664186,0.679628
100,0.581481,0.562189,0.811782,0.664315,0.679549
-1,0.570293,0.554045,0.795898,0.653307,-1
