epoch,accuracy,precision,recall,f1,cost
1,0.679258,0.685016,0.832705,0.751675,0.611369
2,0.679258,0.685016,0.832705,0.751675,0.61135
3,0.679396,0.685078,0.832941,0.751808,0.611332
4,0.679396,0.685078,0.832941,0.751808,0.611314
5,0.679396,0.685006,0.833176,0.75186,0.611295
6,0.679533,0.685067,0.833412,0.751993,0.611278
7,0.679533,0.685067,0.833412,0.751993,0.611259
8,0.679533,0.685067,0.833412,0.751993,0.61124
9,0.679533,0.685067,0.833412,0.751993,0.611221
10,0.679533,0.685067,0.833412,0.751993,0.611201
11,0.679533,0.685067,0.833412,0.751993,0.611183
12,0.679533,0.685067,0.833412,0.751993,0.611163
13,0.679533,0.685067,0.833412,0.751993,0.611146
14,0.67967,0.6852,0.833412,0.752073,0.611127
15,0.67967,0.6852,0.833412,0.752073,0.611111
16,0.679808,0.685261,0.833647,0.752206,0.61109
17,0.679808,0.685261,0.833647,0.752206,0.611074
18,0.679808,0.685261,0.833647,0.752206,0.611054
19,0.679945,0.685393,0.833647,0.752286,0.611035
20,0.679945,0.685393,0.833647,0.752286,0.611015
21,0.679945,0.685393,0.833647,0.752286,0.610998
22,0.679945,0.685393,0.833647,0.752286,0.610978
23,0.680082,0.685526,0.833647,0.752366,0.61096
24,0.680082,0.685526,0.833647,0.752366,0.610943
25,0.680082,0.685526,0.833647,0.752366,0.610923
26,0.680082,0.685526,0.833647,0.752366,0.610904
27,0.680082,0.685526,0.833647,0.752366,0.610886
28,0.680082,0.685526,0.833647,0.752366,0.610868
29,0.680082,0.685526,0.833647,0.752366,0.61085
30,0.680632,0.686058,0.833647,0.752686,0.610832
31,0.680632,0.686058,0.833647,0.752686,0.610813
32,0.680632,0.686058,0.833647,0.752686,0.610793
33,0.680632,0.686058,0.833647,0.752686,0.610776
34,0.680907,0.68618,0.834119,0.752951,0.610758
35,0.680907,0.68618,0.834119,0.752951,0.61074
36,0.680907,0.68618,0.834119,0.752951,0.610719
37,0.680907,0.68618,0.834119,0.752951,0.610701
38,0.681044,0.686312,0.834119,0.753031,0.610685
39,0.681181,0.686373,0.834354,0.753164,0.610667
40,0.681044,0.686312,0.834119,0.753031,0.610648
41,0.681044,0.686312,0.834119,0.753031,0.610631
42,0.680907,0.686107,0.834354,0.753004,0.610612
43,0.680907,0.686107,0.834354,0.753004,0.610592
44,0.681044,0.68624,0.834354,0.753084,0.610575
45,0.681181,0.686373,0.834354,0.753164,0.610555
