epoch,accuracy,precision,recall,f1,cost
1,0.583786,0.583786,1,0.737203,0.693271
2,0.583786,0.583786,1,0.737203,0.68235
3,0.583786,0.583786,1,0.737203,0.680731
4,0.583786,0.583786,1,0.737203,0.680093
5,0.583786,0.583786,1,0.737203,0.679577
6,0.583786,0.583786,1,0.737203,0.679088
7,0.583786,0.583786,1,0.737203,0.678611
8,0.583786,0.583786,1,0.737203,0.678145
9,0.583786,0.583786,1,0.737203,0.677692
10,0.583786,0.583786,1,0.737203,0.677249
11,0.583786,0.583786,1,0.737203,0.676817
12,0.583786,0.583786,1,0.737203,0.676396
13,0.583786,0.583786,1,0.737203,0.675985
14,0.583786,0.583786,1,0.737203,0.675583
15,0.583786,0.583786,1,0.737203,0.67519
16,0.583722,0.58376,0.999891,0.737152,0.674805
17,0.58385,0.583834,0.999891,0.737212,0.674432
18,0.58385,0.583845,0.999781,0.737191,0.67406
19,0.583914,0.583882,0.999781,0.73722,0.673706
20,0.584042,0.583968,0.999671,0.737259,0.673348
21,0.58417,0.584042,0.999671,0.737318,0.673008
22,0.584298,0.584128,0.999562,0.737357,0.672671
23,0.584489,0.584283,0.999124,0.737361,0.67234
24,0.584681,0.584428,0.998795,0.737387,0.672019
25,0.585065,0.584685,0.998467,0.737502,0.671701
26,0.585576,0.585029,0.998029,0.737656,0.671396
27,0.586408,0.585573,0.997481,0.737938,0.671093
28,0.587303,0.586145,0.997043,0.738272,0.670793
29,0.58807,0.586698,0.996057,0.73844,0.670503
30,0.588326,0.586895,0.995619,0.738475,0.670212
31,0.589029,0.587391,0.994853,0.738657,0.669937
32,0.589796,0.587881,0.994524,0.738953,0.669662
33,0.590883,0.588575,0.994086,0.73938,0.669391
34,0.591906,0.589232,0.993648,0.739777,0.669127
35,0.593121,0.590031,0.992991,0.740224,0.668867
36,0.593185,0.590163,0.992115,0.740084,0.668612
37,0.593696,0.590577,0.991129,0.740135,0.668363
38,0.594016,0.590841,0.990472,0.740159,0.668113
39,0.594655,0.591335,0.989486,0.74027,0.667876
40,0.594847,0.591607,0.988063,0.740084,0.667638
41,0.595678,0.592208,0.987186,0.740309,0.667406
42,0.596957,0.593073,0.98642,0.740768,0.667174
43,0.597404,0.593531,0.984777,0.740661,0.66695
44,0.59798,0.594021,0.983572,0.740701,0.66673
45,0.598747,0.59458,0.982806,0.740918,0.666514
46,0.599578,0.595194,0.98193,0.741145,0.666294
47,0.600409,0.595861,0.980615,0.741286,0.666085
48,0.600281,0.596024,0.978535,0.740817,0.665878
49,0.600985,0.596591,0.977439,0.740941,0.665675
50,0.60124,0.596971,0.975578,0.740698,0.665474
-1,0.570624,0.572066,0.968381,0.719243,-1
