epoch,accuracy,precision,recall,f1,cost
1,0.530194,0.530194,1,0.692977,0.693153
2,0.530194,0.530194,1,0.692977,0.690761
3,0.530194,0.530194,1,0.692977,0.689493
4,0.530194,0.530194,1,0.692977,0.688349
5,0.533265,0.531828,1,0.69437,0.687246
6,0.5435,0.537578,0.994209,0.697832,0.686174
7,0.558854,0.546326,0.990348,0.704187,0.685134
8,0.574207,0.555556,0.984556,0.710306,0.684122
9,0.591607,0.566929,0.972973,0.716418,0.68314
10,0.596725,0.571594,0.955598,0.715318,0.682184
11,0.599795,0.574269,0.947876,0.715222,0.681255
12,0.601842,0.576512,0.938224,0.714181,0.680351
13,0.604913,0.579518,0.928571,0.71365,0.679473
14,0.604913,0.581081,0.913127,0.71021,0.678617
15,0.610031,0.585947,0.901544,0.710266,0.677785
16,0.613101,0.589744,0.888031,0.708783,0.676974
17,0.614125,0.591203,0.882239,0.707978,0.676184
18,0.614125,0.592398,0.872587,0.705699,0.675416
19,0.618219,0.596538,0.864865,0.706068,0.674667
20,0.617195,0.596257,0.861004,0.704581,0.673937
21,0.616172,0.596491,0.853282,0.702145,0.673226
22,0.617195,0.597826,0.849421,0.701754,0.672532
23,0.62129,0.601928,0.843629,0.702572,0.671856
24,0.617195,0.600559,0.830116,0.696921,0.671197
25,0.618219,0.601683,0.828185,0.696994,0.670553
26,0.618219,0.602257,0.824324,0.696007,0.669925
27,0.619243,0.603989,0.818533,0.695082,0.669312
28,0.622313,0.607194,0.814672,0.695796,0.668712
29,0.620266,0.606368,0.80888,0.693135,0.668128
30,0.62129,0.608504,0.801158,0.691667,0.667556
31,0.620266,0.608247,0.797297,0.690058,0.666999
32,0.618219,0.608696,0.783784,0.685232,0.666453
33,0.616172,0.607519,0.779923,0.683009,0.665918
34,0.618219,0.609682,0.777992,0.68363,0.665397
35,0.616172,0.608828,0.772201,0.680851,0.664886
36,0.615148,0.608563,0.76834,0.679181,0.664388
37,0.617195,0.611111,0.764479,0.679245,0.663898
38,0.615148,0.610248,0.758687,0.67642,0.663419
39,0.614125,0.610329,0.752896,0.674157,0.66295
40,0.613101,0.609718,0.750965,0.67301,0.662492
41,0.612078,0.609105,0.749035,0.671861,0.662042
42,0.613101,0.61041,0.747104,0.671875,0.661601
43,0.612078,0.610143,0.743243,0.670148,0.661169
44,0.612078,0.610143,0.743243,0.670148,0.660745
45,0.611054,0.609524,0.741313,0.66899,0.66033
46,0.610031,0.608903,0.739382,0.667829,0.659923
47,0.610031,0.60925,0.737452,0.667249,0.659522
48,0.610031,0.6096,0.735521,0.666667,0.65913
49,0.610031,0.6096,0.735521,0.666667,0.658744
50,0.610031,0.6096,0.735521,0.666667,0.658367
51,0.611054,0.610577,0.735521,0.66725,0.657995
52,0.610031,0.609952,0.733591,0.666082,0.65763
53,0.611054,0.610932,0.733591,0.666667,0.657271
54,0.612078,0.611916,0.733591,0.667252,0.656919
55,0.612078,0.611916,0.733591,0.667252,0.656573
56,0.613101,0.612903,0.733591,0.667838,0.656232
57,0.614125,0.614263,0.73166,0.667841,0.655897
58,0.613101,0.613636,0.72973,0.666667,0.655568
59,0.617195,0.617647,0.72973,0.669026,0.655243
60,0.618219,0.618658,0.72973,0.669619,0.654925
61,0.617195,0.618033,0.727799,0.66844,0.654611
62,0.617195,0.618033,0.727799,0.66844,0.654302
63,0.618219,0.61944,0.725869,0.668444,0.653997
64,0.620266,0.621087,0.727799,0.670222,0.653696
65,0.620266,0.621087,0.727799,0.670222,0.653402
66,0.619243,0.620462,0.725869,0.669039,0.65311
67,0.619243,0.620462,0.725869,0.669039,0.652824
68,0.618219,0.619835,0.723938,0.667854,0.652541
69,0.619243,0.621262,0.722008,0.667857,0.652263
70,0.619243,0.621262,0.722008,0.667857,0.651988
71,0.620266,0.622705,0.720077,0.66786,0.651717
72,0.622313,0.624791,0.720077,0.669058,0.651449
73,0.622313,0.624791,0.720077,0.669058,0.651185
74,0.62129,0.624161,0.718147,0.667864,0.650925
75,0.62129,0.624161,0.718147,0.667864,0.650669
76,0.62129,0.624579,0.716216,0.667266,0.650415
77,0.62129,0.624579,0.716216,0.667266,0.650165
78,0.62129,0.624579,0.716216,0.667266,0.649917
